,Released Year,Movie Title,Rotten Tomatoes Rating,IMDB Votes
0,2015,Ant-Man,82%,"482,910"
1,2018,Ant-Man and the Wasp,88%,"204,018"
2,2018,Aquaman,65%,"208,461"
3,2008,The Dark Knight,94%,"2,029,721"
4,2012,The Dark Knight Rises,87%,"1,366,558"
5,2018,Black Panther,97%,"486,841"
6,2011,Captain America: The First Avenger,80%,"641,472"
7,2014,Captain America: The Winter Soldier,90%,"646,011"
8,2019,Captain Marvel,79%,"80,858"
9,2016,Deadpool,84%,"802,733"
10,2018,Deadpool 2,83%,"359,880"
11,2016,Doctor Strange,89%,"485,846"
12,2011,Ghost Rider: Spirit of Vengeance,18%,"102,335"
13,2011,Green Lantern,26%,"250,387"
14,2008,Iron Man,93%,"842,429"
15,2010,Iron Man 2,73%,"642,092"
16,2013,Iron Man 3,80%,"672,550"
17,2008,Punisher: War Zone,29%,"56,730"
18,2017,Spider-Man: Homecoming,92%,"398,278"
19,2012,The Amazing Spider-Man,72%,"520,000"
20,2014,The Amazing Spider-Man 2,52%,"382,051"
21,2013,Man of Steel,56%,"639,837"
22,2008,The Incredible Hulk,67%,"388,957"
23,2011,Thor,77%,"661,810"
24,2017,Thor: Ragnarok,92%,"439,344"
25,2013,Thor: The Dark World,66%,"526,911"
26,2018,Venom,35/100,"245,745"
27,2017,Logan,93%,"545,270"
28,2013,The Wolverine,71%,"395,575"
29,2009,X-Men Origins: Wolverine,37%,"429,641"
30,2017,Wonder Woman,93%,"472,212"
