Date_Released,Publisher,Superhero_Name,Movie_Title
2008,DC,Batman,The Dark Knight
2008,DC,Punisher,Punisher: War Zone
2008,Marvel,Iron Man,Iron Man
2008,Marvel,Hulk,The Incredible Hulk
2009,Marvel,Wolverine,X-Men Origins: Wolverine
2010,Marvel,Iron Man,Iron Man 2
2011,Marvel,Ghost Rider,Spirit of Vengeance
2011,DC,Green Lantern,Green Lantern
2011,Marvel,Thor,Thor
2011,Marvel,Captain America,Captain America: The First Avenger
2012,DC,Batman,The Dark Knight Rises
2012,Marvel,Spider-Man,The Amazing Spider-Man
2013,Marvel,Iron Man,Iron Man 3
2013,Marvel,Thor,Thor: The Dark World
2013,Marvel,Wolverine,The Wolverine
2014,DC,Superman,Man of Steel
2014,Marvel,Spider-Man,The Amazing Spider-Man 2
2014,Marvel,Captain America,Captain America: The Winter Soldier
2015,Marvel,Ant-Man,Ant-Man
2016,Marvel,Deadpool,Deadpool
2016,Marvel,Doctor Strange,Doctor Strange
2016,Marvel,Wolverine,Logan
2017,Marvel,Spider-Man,Spider-Man: Homecoming
2017,DC,Wonder Woman,Wonder Woman
2018,Marvel,Thor,Thor: Ragnarok
2018,Marvel,Black Panther,Black Panther
2018,Marvel,Ant-Man,Ant-Man and the Wasp
2018,DC,Aquaman,Aquaman
2018,Marvel,Venom,Venom
2019,Marvel,Captain Marvel,Captain Marvel
